letter,n,v1,v2,v3,v4
A,272,0.5955882352941176,0.9816176470588235,0.8125,0.9411764705882353
B,296,0.9493243243243243,0.9459459459459459,0.9358108108108109,0.9594594594594594
C,274,0.9635036496350365,0.9452554744525548,0.6824817518248175,0.9562043795620438
D,287,0.8083623693379791,0.9651567944250871,0.9790940766550522,0.975609756097561
E,298,0.8926174496644296,0.9295302013422819,0.9697986577181208,0.9865771812080537
F,293,0.9761092150170648,0.9761092150170648,0.6348122866894198,0.9795221843003413
G,294,0.2108843537414966,0.7959183673469388,0.782312925170068,0.7857142857142857
I,300,0.8466666666666667,0.8566666666666667,0.8733333333333333,0.95
L,296,0.9527027027027027,0.9763513513513513,0.9763513513513513,0.9763513513513513
M,291,0.9896907216494846,0.9862542955326461,0.993127147766323,0.9965635738831615
N,296,0.7432432432432432,0.7027027027027027,0.5608108108108109,0.9763513513513513
O,299,0.9933110367892977,0.9866220735785953,0.9866220735785953,1.0
P,299,0.9665551839464883,0.9832775919732442,0.979933110367893,0.9966555183946488
Q,298,0.9261744966442953,0.9530201342281879,0.9530201342281879,0.9731543624161074
R,283,0.7915194346289752,0.9823321554770318,0.8621908127208481,0.9257950530035336
S,289,0.5709342560553633,0.4982698961937716,0.7750865051903114,0.615916955017301
T,300,0.89,0.76,0.8766666666666667,0.9766666666666667
U,300,0.9733333333333334,0.07666666666666666,0.9733333333333334,0.9733333333333334
V,298,0.8087248322147651,0.9630872483221476,0.5704697986577181,0.7315436241610739
W,280,0.8964285714285715,0.9607142857142857,0.9678571428571429,0.9785714285714285
Y,283,0.7491166077738516,0.7667844522968198,0.9434628975265018,0.9823321554770318
Ç,288,0.0763888888888889,0.4375,0.4201388888888889,0.5555555555555556
GLOBAL,6414,0.8002806361085126,0.8366074212659806,0.8420642344870596,0.9181478016838166
